label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v
L,0.504597545,0.269259423,-0.035331473,0.999609411,0.424619317,0.346681952,0.444066942,0.996506453,0.368236899,0.323197037,-0.425009727,0.999976516,0.330980897,0.432127923,-0.563311338,0.991221428,0.416548342,0.454703659,0.517369747,0.056882787,0.366515666,0.548538864,-0.601165652,0.980685055,0.453031689,0.546331644,0.347338885,0.102090128,0.432549119,0.560280263,0.260447562,0.992951334,0.383735478,0.555314243,-0.260353923,0.998367965
L,0.498531669,0.269442946,-0.007066068,0.999505043,0.412439972,0.347161502,0.438251436,0.996270597,0.365490109,0.324546844,-0.40271163,0.999975801,0.337547481,0.432377011,-0.525839865,0.990460575,0.403333217,0.451972336,0.503496289,0.047692668,0.388944179,0.544393957,-0.533077776,0.978074133,0.430247098,0.543315828,0.344186038,0.085494407,0.408569396,0.560516536,0.259410948,0.993372679,0.372117788,0.554422736,-0.259421557,0.998490989
L,0.314349979,0.270119339,0.052202918,0.999714375,0.280592084,0.366248518,0.452458531,0.997177422,0.236938372,0.336392492,-0.296992481,0.999951303,0.419781864,0.372832745,-0.410804957,0.99305445,0.427969247,0.421314806,0.608133614,0.1502278,0.641545475,0.384327173,-0.387996048,0.977178216,0.59349221,0.423926234,0.501119554,0.245843932,0.370543897,0.549826801,0.199070528,0.993074596,0.336506009,0.544567704,-0.199151501,0.998137534
L,0.272902369,0.287006766,0.015180595,0.999468625,0.283792943,0.379301757,0.483531684,0.994911432,0.195834741,0.347850233,-0.355778813,0.999895871,0.403463095,0.331114233,-0.554303646,0.995382249,0.443680793,0.367763728,0.598571241,0.182365164,0.627655327,0.292211443,-0.545278072,0.985366106,0.616581619,0.342637777,0.487138808,0.332936972,0.407379419,0.555606902,0.231367812,0.989574075,0.353117973,0.554786503,-0.23142761,0.996225774
L,0.275248736,0.287354678,0.025868582,0.99942708,0.286807835,0.378935814,0.481664211,0.995138884,0.196832255,0.34906742,-0.341496348,0.999890864,0.403315753,0.334283441,-0.533818603,0.995931447,0.450913996,0.367261738,0.586165547,0.205160394,0.630118489,0.299088955,-0.527181327,0.987401366,0.625105798,0.346414715,0.459222615,0.382131308,0.406941444,0.552978814,0.230678067,0.988893092,0.350254506,0.553129017,-0.230727255,0.995678842
L,0.307577878,0.281570554,0.114979312,0.999436498,0.287075579,0.373842716,0.520097017,0.996117651,0.216572344,0.334324241,-0.283851027,0.999903202,0.418563277,0.347236961,-0.426248372,0.996127725,0.441947401,0.399552435,0.644006491,0.226130471,0.64490819,0.350091785,-0.411755145,0.98925221,0.6255036,0.403557807,0.530028045,0.432287365,0.397854537,0.550563991,0.222960025,0.989872813,0.338153571,0.549386561,-0.222977132,0.995991707
L,0.493671298,0.269082814,0.035664774,0.999686599,0.396122217,0.348574311,0.49590683,0.997587502,0.349849075,0.323453307,-0.345613867,0.999949694,0.354992062,0.431937933,-0.429656088,0.992013335,0.382416189,0.44724381,0.562725484,0.146494851,0.418345511,0.536433518,-0.430150151,0.977214098,0.430621475,0.530625045,0.445828587,0.248078063,0.36214453,0.551994205,0.238947958,0.993840337,0.308492839,0.547302485,-0.238758817,0.998052597
L,0.539828479,0.281582892,0.00137751,0.999602556,0.421758652,0.342948347,0.457778603,0.997286677,0.394616961,0.321115851,-0.396347433,0.999964476,0.331139743,0.425760269,-0.525352955,0.992380261,0.378164619,0.445190519,0.524615288,0.104378641,0.316795498,0.54320091,-0.563801646,0.978505254,0.387440503,0.539413154,0.386850536,0.16684328,0.370502204,0.556336641,0.264266461,0.99330622,0.346376598,0.54906112,-0.264174312,0.998274207
L,0.396823078,0.27095142,0.076767363,0.999825358,0.305027425,0.349175662,0.512394428,0.997947097,0.299335122,0.32465744,-0.282490879,0.999983668,0.420668602,0.419189304,-0.401582658,0.992465079,0.386875361,0.460508227,0.600181103,0.076663904,0.57233876,0.498392552,-0.374467105,0.977961242,0.53240943,0.515810549,0.465724766,0.121826567,0.360248357,0.552445471,0.231713235,0.994152188,0.346145689,0.54474467,-0.231896982,0.998896062
L,0.293779045,0.296861798,0.118280016,0.999551296,0.286905885,0.382181555,0.539138258,0.996912539,0.211248368,0.347349912,-0.311880738,0.999925256,0.41356799,0.340625882,-0.50890851,0.994248688,0.444809884,0.384691596,0.68835777,0.173045039,0.62996757,0.313171268,-0.502709389,0.98498404,0.622642934,0.356742263,0.575452149,0.35938099,0.408906251,0.557732284,0.237235159,0.990355551,0.360293418,0.555095613,-0.237286985,0.996604145
